




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (22265)	upload_1 (118)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of cellular protein metabolic process (GO:0032268)	2548	31	13.50	+	2.30	7.93E-06	5.70E-03
regulation of protein metabolic process (GO:0051246)	2719	32	14.41	+	2.22	1.32E-05	7.72E-03
regulation of cellular component organization (GO:0051128)	2472	29	13.10	+	2.21	4.44E-05	1.63E-02
cellular localization (GO:0051641)	2152	25	11.41	+	2.19	2.23E-04	4.64E-02
macromolecule localization (GO:0033036)	2272	26	12.04	+	2.16	1.73E-04	3.86E-02
establishment of localization (GO:0051234)	3706	38	19.64	+	1.93	3.28E-05	1.33E-02
regulation of biological quality (GO:0065008)	3940	40	20.88	+	1.92	2.78E-05	1.22E-02
transport (GO:0006810)	3567	36	18.90	+	1.90	7.95E-05	2.46E-02
protein metabolic process (GO:0019538)	3486	35	18.48	+	1.89	1.17E-04	3.19E-02
response to chemical (GO:0042221)	3418	34	18.11	+	1.88	1.81E-04	3.96E-02
negative regulation of cellular process (GO:0048523)	4747	47	25.16	+	1.87	7.52E-06	5.65E-03
organonitrogen compound metabolic process (GO:1901564)	4362	43	23.12	+	1.86	2.10E-05	9.78E-03
cellular component organization (GO:0016043)	5103	49	27.04	+	1.81	7.95E-06	5.46E-03
localization (GO:0051179)	4909	47	26.02	+	1.81	1.69E-05	8.35E-03
cellular component organization or biogenesis (GO:0071840)	5298	50	28.08	+	1.78	1.05E-05	6.62E-03
positive regulation of cellular process (GO:0048522)	5722	54	30.33	+	1.78	3.77E-06	4.59E-03
negative regulation of biological process (GO:0048519)	5213	49	27.63	+	1.77	1.57E-05	7.99E-03
positive regulation of biological process (GO:0048518)	6212	57	32.92	+	1.73	2.74E-06	3.93E-03
metabolic process (GO:0008152)	7365	59	39.03	+	1.51	1.70E-04	3.84E-02
cellular process (GO:0009987)	15103	105	80.04	+	1.31	1.49E-07	4.70E-04
